Intrínsico,,
Especies descritas,1.7 Millones,
Estimación especies totales existentes,"Más de 100 millones, o billones incluyendo bacterias y arqueas ",
Grupos menos estudiados ,"hongos, insectos, microorganismos, bacterias y arqueas.  Muchas pueden extinguirse antes de que las descubramos",
IUCN ,"(International Union for Conservation of Nature)

 Categorías principales: EX: Extinto | EW: Extinto en estado silvestre I CE: En peligro crítico | EN: En peligro | VU: Vulnerable NT: Casi amenazada | LC: Preocupación menor Criterios de evaluación: A: Disminución poblacional B: Distribución geográfica C: Tamaño poblacional D: Poblaciones muy pequeñas E: Análisis de riesgo cuantificado ",
Fungi,"FÁRMACOS, INDUSTRIA y COSMÉTICA, BIOCOMBUSTIBLES",
Glycerol usos,,
Organización clasificación,Orden > Familia > Género,
Taxonomía ,"Qué es: La ciencia de la clasificación de los seres vivos. Qué hace: Agrupa organismos en categorías jerárquicas llamadas taxones (especie, género, familia, etc.).Ejemplo: Clasificar al lince ibérico como Lynx pardinus dentro de la familia Felidae. Implicación: Da orden y estructura al estudio de la biodiversidad. ",
Nomenclatura,"Qué es: El conjunto de reglas y normas que regulan cómo se ponen los nombres científicos a los organismos. Qué hace: Asegura que cada especie tenga un nombre único, estable y universal. Implicación: Evita confusión y permite comunicación precisa entre científicos de todo el mundo. ",
Filogenia,"Qué es: El estudio de la historia evolutiva y las relaciones de parentesco entre organismos. Qué hace: Reconstruye árboles genealógicos (árboles filogenéticos) que muestran ancestros comunes. Ejemplo: Saber que humanos y chimpancés comparten un ancestro común hace ~6-7 millones de años. Implicación: La clasificación actual tiende a ser filogenética, es decir, basada en la evolución y no solo en rasgos externos. ",
Sistemática ,"Qué es: La disciplina más amplia que integra taxonomía + filogenia + nomenclatura. Qué hace: Estudia la diversidad biológica, su clasificación, nombres y relaciones evolutivas. Ejemplo: Un sistemático investiga dónde encaja una nueva especie, cómo nombrarla y con qué especies está emparentada. Implicación: Es el marco global para organizar el conocimiento sobre la vida ",
Protista," conjunto de organismos cuyas células contienen un núcleo celular (eucariotas), y que no son animales, plantas u hongos. ",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRDzdEdRHaAAdlSsSlyQ86ybHFzuS7_m4dmfA&s
